fecha,titular,url
2025-01-22,Romina Figueroa Berríos es nombrada Seremi de Ciencia en las regiones de Antofagasta y Atacama,https://www.minciencia.gob.cl/noticias/romina-figueroa-berrios-es-nombrada-seremi-de-ciencia-en-las-regiones-de-antofagasta-y-atacama/
2025-01-17,Gobierno realiza lanzamiento del Instituto Nacional de Litio y Salares en la Región de Antofagasta,https://www.minciencia.gob.cl/noticias/gobierno-realiza-lanzamiento-del-instituto-nacional-de-litio-y-salares-en-la-region-de-antofagasta/
2025-01-15,"Inteligencia Artificial y bienestar de niñas, niños y adolescentes: la responsabilidad es de todos",https://www.minciencia.gob.cl/noticias/inteligencia-artificial-y-bienestar-de-ninas-ninos-y-adolescentes-la-responsabilidad-es-de-todos/
2025-01-09,Ministra de Ciencia visita el Centro de Innovación Tecnológica de la Armada en Viña del Mar,https://www.minciencia.gob.cl/noticias/ministra-de-ciencia-visita-el-centro-de-innovacion-tecnologica-de-la-armada-en-vina-del-mar/
2025-01-08,Ministerio de Ciencia entregará 1.100 millones de pesos para proyectos que acercan la ciencia a las personas,https://www.minciencia.gob.cl/noticias/ministerio-de-ciencia-entregara-1100-millones-de-pesos-para-proyectos-que-acercan-la-ciencia-a-las-personas/
2025-01-03,Informe Consulta Virtual: Plan Nacional de Data Centers,https://www.minciencia.gob.cl/noticias/informe-consulta-virtual-plan-nacional-de-data-centers/
2025-01-03,Alianza público-privada se une para articular proyecto de supercómputo en Valparaíso,https://www.minciencia.gob.cl/noticias/alianza-publico-privada-se-une-para-articular-proyecto-de-supercomputo-en-valparaiso/
2025-01-02,MinCiencia y GORE Los Lagos firman convenio para fortalecer el desarrollo de ciencia y tecnología,https://www.minciencia.gob.cl/noticias/minciencia-y-gore-los-lagos-firman-convenio-para-fortalecer-el-desarrollo-de-ciencia-y-tecnologia/
2024-12-30,“El Ministerio de Ciencia logró este año ponerse al servicio del desarrollo para hacerlo más sostenible e inclusivo”,https://www.minciencia.gob.cl/noticias/el-ministerio-de-ciencia-logro-este-ano-ponerse-al-servicio-del-desarrollo-para-hacerlo-mas-sostenible-e-inclusivo/
2024-12-27,Nuevo Consejo de la Sociedad Civil del Ministerio de Ciencia sesionó por primera vez y eligió representante que presidirá esta instancia,https://www.minciencia.gob.cl/noticias/nuevo-consejo-de-la-sociedad-civil-del-ministerio-de-ciencia-sesiono-por-primera-vez-y-eligio-representante-que-presidira-esta-instancia/
